# Pathway	PD_10_HC_Abundance	PD_10_PC_Abundance	PD_10_Abundance	PD_11_HC_Abundance	PD_11_PC_Abundance	PD_11_Abundance	PD_12_HC_Abundance	PD_12_PC_Abundance	PD_12_Abundance	PD_13_HC_Abundance	PD_13_PC_Abundance	PD_13_Abundance	PD_14_HC_Abundance	PD_14_PC_Abundance	PD_14_Abundance	PD_15_HC_Abundance	PD_15_PC_Abundance	PD_15_Abundance	PD_16_HC_Abundance	PD_16_PC_Abundance	PD_16_Abundance	PD_17_HC_Abundance	PD_17_PC_Abundance	PD_17_Abundance	PD_18_HC_Abundance	PD_18_PC_Abundance	PD_18_Abundance	PD_19_HC_Abundance	PD_19_PC_Abundance	PD_19_Abundance	PD_1_HC_Abundance	PD_1_PC_Abundance	PD_1_Abundance	PD_20_HC_Abundance	PD_20_PC_Abundance	PD_20_Abundance	PD_21_HC_Abundance	PD_21_PC_Abundance	PD_21_Abundance	PD_22_HC_Abundance	PD_22_PC_Abundance	PD_22_Abundance	PD_23_HC_Abundance	PD_23_PC_Abundance	PD_23_Abundance	PD_24_HC_Abundance	PD_24_PC_Abundance	PD_24_Abundance	PD_25_HC_Abundance	PD_25_PC_Abundance	PD_25_Abundance	PD_26_HC_Abundance	PD_26_PC_Abundance	PD_26_Abundance	PD_27_HC_Abundance	PD_27_PC_Abundance	PD_27_Abundance	PD_28_HC_Abundance	PD_28_PC_Abundance	PD_28_Abundance	PD_29_HC_Abundance	PD_29_PC_Abundance	PD_29_Abundance	PD_2_HC_Abundance	PD_2_PC_Abundance	PD_2_Abundance	PD_30_PC_Abundance	PD_30_Abundance	PD_31_PC_Abundance	PD_31_Abundance	PD_32_PC_Abundance	PD_32_Abundance	PD_33_PC_Abundance	PD_33_Abundance	PD_34_PC_Abundance	PD_34_Abundance	PD_35_PC_Abundance	PD_35_Abundance	PD_36_PC_Abundance	PD_36_Abundance	PD_37_PC_Abundance	PD_37_Abundance	PD_38_PC_Abundance	PD_38_Abundance	PD_39_PC_Abundance	PD_39_Abundance	PD_3_HC_Abundance	PD_3_PC_Abundance	PD_3_Abundance	PD_40_PC_Abundance	PD_40_Abundance	PD_41_PC_Abundance	PD_41_Abundance	PD_42_Abundance	PD_43_Abundance	PD_44_Abundance	PD_45_Abundance	PD_46_Abundance	PD_47_Abundance	PD_48_Abundance	PD_4_HC_Abundance	PD_4_PC_Abundance	PD_4_Abundance	PD_5_HC_Abundance	PD_5_PC_Abundance	PD_5_Abundance	PD_6_HC_Abundance	PD_6_PC_Abundance	PD_6_Abundance	PD_7_HC_Abundance	PD_7_PC_Abundance	PD_7_Abundance	PD_8_HC_Abundance	PD_8_PC_Abundance	PD_8_Abundance	PD_9_HC_Abundance	PD_9_PC_Abundance	PD_9_Abundance
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0.00105039	0	0	0	0	0	0	0	0	0.000731042	0.00506862	0	0.000162006	0	0	0	0	0	0	0	0	2.62314e-05	0	0	0	0	0	0	0	0	0.000156021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000923381	0	0	0	0	0.00115715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042262	0	0.000256047	0	0	0	3.162e-05	0	0	0.000152881	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000294353	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	0	0.000793615	0	0	0	0	0	0.000306489	0	0	0.00033353	0	0	0	0	0.000461532	0	0	0.000173921	0.000287267	0.0004006	0.000486812	0	0	0	0.00118844	0.000217375	0	0	0	0.000702502	0.000590548	0	0	0.00103234	0	0	0	0	0	0	0	0	0.000980544	3.49124e-05	0	0	0	0	0	0	0	0.00131225	0	0.000252026	0	0	0	0	0	3.75277e-05	0	0	0	0	0	0	0	0	0	0	5.88676e-05	0	0	0	0	0	0	0	0.000320909	0.000504564	0	0	0	0	0	0.000334538	0	0	0.000456532	0	0	0	0	0	0	0	0	0.000704234	0	0	0	0	0	0	0	6.67439e-05	0	0	0	0	0	0.000649923	0	0.00117155	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0.00278084	0.000826844	0	0.00244189	0	0	0.000381301	8.91047e-05	0.00285292	0	0	8.82638e-05	0	5.10888e-05	0	0	0	0	0	0.000420993	0	0	0.000196376	0	0.00033265	0.000130023	5.59572e-05	0	0.00211576	0	0	0	5.42287e-05	0.000189124	0.000532489	0	0	0.000767699	0.000142125	0.000228391	0	0.000497055	0.000142805	0.000507423	0	0.000237133	0	0	0	0.000440469	0	0	0	0	0	0	0	0	7.31417e-05	0.00041844	0	0	0	0	0	0	0.000781284	0.000867363	0.000882865	0.000176115	0.000547921	0	0	0.00182202	0	0.000355978	5.16397e-05	0	0	0	0	0.000774009	0.0021066	0	0	0.000316496	0.0002024	0.000937621	2.27621e-05	0.000430585	0	0	1.65569e-05	0	0.000384426	0	0.000640431	0	0	0	0.000142278	0	0	6.83792e-05	0	0	0	0	0	0	0.000267849	0	0.000399295	0	0.00261129	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_1_1_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.95714e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107633	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_1_1_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000686432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_2_1_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000349191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.22641e-05	0	0	0	0.000225938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000278517	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_3_1_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000765318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000376507	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sp_3_2_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162549	0	0.000325487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0.00670165	0	0.000741607	0	0	0	0.000338775	0.000153911	0	0.00367586	0	9.30125e-05	0	0	0.000932708	0.000235109	0.00030668	0	0.000130476	0.000596491	0.00318253	0.00162751	0.00019734	0.000967913	0	0	0	0	0	0.000377818	0	0	0.000488619	0.00467209	0.00198343	0	0.000199169	0	0	0	0.000138011	0.00440723	0	0.000202749	0	0	0	0	0	0	0.00110397	0	0	0.00274787	0	0.000219003	0.000823444	0	0	0.000444475	0	0.000466934	0	0	0	0	0.00052939	0.000689701	0.00137241	0	8.00152e-05	0.00202579	3.43874e-05	0	4.94617e-05	0	0.00499714	0	0.000247515	0	0	0.000239864	0.000474617	0	0.000139216	0.000923537	0	0	0	0.000340985	0.000329074	0.000128332	0.000877944	0	0.000944811	0	0.000628384	0	0	0	0.00013776	0	0.00258479	0	0	0	0	0	0.00250374	0.000368607	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.00163275	0	0.000109628	0.000458676	0	0.00328629	9.15896e-05	0	0	0.000185939	6.09279e-05	0	0.00415545	0	4.73086e-05	0.000255907	0	0	0.000329083	0.000372482	0.000373889	0	0	4.39277e-05	6.54719e-05	0.000866091	0	5.705e-05	0	0	0.000366073	0.00035543	5.71561e-05	0	0	0.000157989	0	0	0	0.000299206	0	0.000171499	0.000188429	0.00028762	0	0.000131115	0.00037143	0.000178652	0	0	0.000287185	0	4.69149e-05	0	0	0	0	0.000286524	0	0.00161619	0	0.00106912	0	0	0.000440566	0	0.000135034	0.000202534	8.01823e-05	0	0.000134659	0	0	0.000555796	0	0	0	0	6.36473e-05	0	0	6.04113e-05	0.000426457	0	0	0	0	0	0	0.000117872	0	0	0	7.01622e-05	0.000214441	4.83922e-05	0	0	0	0	0.000625687	0.000101113	0	0.000208839	0.00021124	0	0	0	0	0.00041939	0.000106794	0.000368774	0.00015279	0	0.00133072	0.00103289	0.000136682	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0	0.00140652	0.000769017	0	0.0104564	0	0.00189374	0.000632996	0.000231168	0.000576919	0.000676013	0.00101883	0	0.00180911	0.000510692	0.00367742	0.00599114	0.00274033	0.00330356	0.000322575	0.00335338	0.00188142	0.000540898	0.00294995	0.00227763	0.00272695	0.00134145	0.0023178	0	0.00490877	0.00107556	0.00474313	0.00140186	0.000605813	0.00261094	0.00156169	0	0.00439075	0.000837933	0.000472991	0.000298899	0.00175306	0.000424939	0.00579193	0.00034987	0.00311149	0.00216809	0.000115967	0.000875818	0	0.00154613	0.0021325	0.000654906	0.000992019	0.000695136	0.000770598	0.00721228	0	0.000643961	0.0043257	0.000201197	0.00703902	0	0.000875843	0.000947974	0.000795051	0.00177275	0.00031018	0.00287339	0.000951182	0.00283525	0.00111408	0.000933593	0.00109296	0	0.000195274	0.00329555	0.000632163	8.84326e-05	0.000444423	0.000552898	0.0053037	0.000265374	0.00163372	0	0.00105639	9.14683e-05	0.00255575	0.000535752	0.00296072	0.000313183	0.000166395	7.04964e-05	0.000281627	0.00468643	0.000141328	0.000161967	0.00060826	0	0.00014516	0.0011763	0.00102282	0.000567791	0.00795626	0.00303964	0.00294916	0.0017554	0.00102165	0	0.00341396	0.000710204	0.000293305	0.0029189	0.00065565	0.0055122	0.0013185	0.00097752	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.36728e-05	0	0	0.000150411	0	0.000106361	0	0	0.000146703	0	0.000103197	0	0.000322826	0	0	0	0.000275422	0	0	0	0	0.000249951	0	0	0	7.88706e-05	0	0	0	0	4.2714e-05	0	6.34786e-05	0	0	0	3.27703e-05	0	7.55484e-05	0.000116888	5.1801e-05	0	0.000392158	0	0.000340784	0	0	0	0	0.000197043	0	0	0	0	0	0	0	0.000378151	0	0	8.24772e-05	0	0	4.09566e-05	0.000317708	0	0	0	0	0	0	0	0	0	3.79668e-05	0	3.77835e-05	0	3.1432e-05	0.000197312	0	0.000142305	0	0.000106993	0	6.9578e-05	0	0	0	0.000305993	0	0	0	0	0	0	0	0	0.000388427	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000711528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5787e-05	0	0	0.000106665	0	0	0	0	0	0.000308808	0	0	0	0	0	0	1.33753e-05	0	0	0	0	0	0	0	0	0	0	1.84765e-05	0	0	0	7.2686e-05	0	0	0	0	0	0	0	0	0	0	0	0	5.32887e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00010031	0	0	0	0	0	0.000709693
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000224109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49107e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125845	0	0	0	0	0	3.69909e-05	0	0	0	0	0	0	0	0	0	0	0	5.09042e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33964e-05	5.42926e-05	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38313e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
