metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
description	s__Adlercreutzia_equolifaciens	Population Control	-0.0100614641244262	0.00471271639458437	89	41	0.0358243242020461	0.499069895780229
description	s__Roseburia_hominis	Population Control	0.0322283960650905	0.0150248914420646	89	75	0.0349863912489183	0.499069895780229
host_age	s__Eggerthella_unclassified	host_age	-0.00499339773083707	0.00241639209650626	89	24	0.0420196325272328	0.538806075230261
host_body_mass_index	s__Barnesiella_intestinihominis	host_body_mass_index	-0.0249266007893244	0.0121019600533082	89	52	0.0426777089291296	0.538806075230261
sex	s__Paraprevotella_unclassified	male	0.0376966280797379	0.0181528528136272	89	20	0.0410464617817618	0.538806075230261
description	s__Bifidobacterium_bifidum	Population Control	-0.0227966364766385	0.0112803677059176	89	19	0.0466340622682778	0.570913974435886
description	s__Collinsella_aerofaciens	Population Control	-0.0237827287221772	0.0121553634918458	89	62	0.0538881742746835	0.571993998484338
host_body_mass_index	s__Bacteroides_caccae	host_body_mass_index	0.0223196200115159	0.0118704906942558	89	60	0.0637122028014733	0.571993998484338
sex	s__Bacteroides_stercoris	male	0.0643304387085605	0.0334104205533252	89	47	0.0577252445345997	0.571993998484338
sex	s__Bacteroides_xylanisolvens	male	0.0172170486550329	0.00897087992106774	89	50	0.0585229858847861	0.571993998484338
host_age	s__Eubacterium_ventriosum	host_age	-0.00928514100935011	0.00463280747266395	89	39	0.0484310175938179	0.571993998484338
host_body_mass_index	s__Coprococcus_comes	host_body_mass_index	0.00798782494370288	0.00422174517295791	89	62	0.0621000504587998	0.571993998484338
sex	s__Dorea_unclassified	male	-0.00694243733547124	0.00368175300505871	89	20	0.0629742315835808	0.571993998484338
host_body_mass_index	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	host_body_mass_index	0.00465982822000347	0.0023700484339895	89	25	0.0527521113477803	0.571993998484338
host_age	s__Roseburia_hominis	host_age	0.0148835333071026	0.00788573366763605	89	75	0.0627331976282851	0.571993998484338
description	s__Oscillibacter_unclassified	Population Control	-0.0168788825421347	0.00883180241770967	89	85	0.0595672391283723	0.571993998484338
sex	s__Bilophila_unclassified	male	0.0147613764209971	0.00777496669228624	89	67	0.0612258443113981	0.571993998484338
host_body_mass_index	s__Akkermansia_muciniphila	host_body_mass_index	-0.0351078324658913	0.0178223378730029	89	61	0.0523129858015841	0.571993998484338
host_body_mass_index	s__Alistipes_shahii	host_body_mass_index	-0.0156434160779803	0.00837927407639145	89	62	0.0655764911102944	0.575932661055629
description	s__Bifidobacterium_adolescentis	Population Control	-0.0361527614771221	0.0195723046356146	89	37	0.0684241557827804	0.576470868673719
description	s__Barnesiella_intestinihominis	Population Control	0.0472346488370864	0.0255781621099145	89	52	0.0684915883572735	0.576470868673719
host_body_mass_index	s__Bacteroides_eggerthii	host_body_mass_index	0.0383591878951561	0.0210911317781148	89	23	0.0726940258846184	0.594848976996262
description	s__Bacteroides_massiliensis	Population Control	0.0423052877701844	0.0233374907551634	89	25	0.073619922895577	0.594848976996262
host_body_mass_index	s__Burkholderiales_bacterium_1_1_47	host_body_mass_index	0.00404098038433171	0.0022508089593317	89	30	0.0763749576364587	0.605009468335869
description	s__Desulfovibrio_desulfuricans	Population Control	-0.0076520376604109	0.00432181335990719	89	25	0.0804429806337833	0.624980080308624
sex	s__Akkermansia_muciniphila	male	0.0629580247124358	0.0359735064419573	89	61	0.0839314228640669	0.639779147869491
sex	s__Eubacterium_siraeum	male	0.0491099503434619	0.0287544314544052	89	41	0.0915311938912232	0.674635431004969
description	s__Holdemania_filiformis	Population Control	-0.00521950912174289	0.00305908099399874	89	24	0.0918439324387953	0.674635431004969
host_age	s__Dorea_unclassified	host_age	0.0034310063619731	0.00202339621669197	89	20	0.0938376871330306	0.676971885745435
host_age	s__Akkermansia_muciniphila	host_age	0.0331657058127119	0.0197701086237423	89	61	0.0973345006110569	0.689879618366087
host_age	s__Bacteroides_faecis	host_age	-0.00952611017915184	0.00572201711744713	89	23	0.0998613198852704	0.695585745407746
description	s__Ruminococcus_gnavus	Population Control	-0.0297604468273167	0.0179762163922643	89	29	0.101731748407234	0.696603836551227
host_body_mass_index	s__Bacteroides_ovatus	host_body_mass_index	0.021099984503224	0.0128761253647231	89	78	0.105204957268715	0.696767257976405
description	s__Eubacterium_rectale	Population Control	0.0516717350737305	0.0315240765912817	89	71	0.105115342798123	0.696767257976405
description	s__Parabacteroides_unclassified	Population Control	0.0438619879440327	0.0270895592611144	89	36	0.109351434805963	0.701237772406492
sex	s__Eubacterium_ramulus	male	0.00849002932435673	0.00522512920282007	89	37	0.108129010605877	0.701237772406492
host_body_mass_index	s__Ruminococcus_bromii	host_body_mass_index	0.0186117421022409	0.0115821349443001	89	37	0.112008615992497	0.707054388452638
sex	s__Bacteroides_eggerthii	male	-0.0638061893665046	0.0425714050701219	89	23	0.137860364286679	0.73273187202328
host_age	s__Barnesiella_intestinihominis	host_age	0.0199707884877719	0.0134245611613344	89	52	0.140779466654527	0.73273187202328
host_age	s__Odoribacter_unclassified	host_age	0.00330188940291373	0.00223496728137851	89	20	0.14350068430051	0.73273187202328
host_age	s__Prevotella_copri	host_age	-0.0305731835244179	0.0201486822812495	89	23	0.13311299654104	0.73273187202328
sex	s__Alistipes_putredinis	male	0.0470102037411183	0.0301655079937906	89	70	0.123083725942103	0.73273187202328
sex	s__Clostridium_bolteae	male	-0.0116221706890884	0.00765904446560835	89	32	0.133096577513433	0.73273187202328
sex	s__Flavonifractor_plautii	male	-0.00367773054259633	0.00251083120054894	89	25	0.146909112955163	0.73273187202328
sex	s__Eubacterium_hallii	male	-0.0276840737051739	0.0180616554368144	89	71	0.129281751607781	0.73273187202328
host_age	s__Eubacterium_ramulus	host_age	-0.00434632761234203	0.00287159585289569	89	37	0.134078775334588	0.73273187202328
host_age	s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	host_age	-0.0038769744029974	0.00262906669806097	89	25	0.144229138646403	0.73273187202328
description	s__Lachnospiraceae_bacterium_8_1_57FAA	Population Control	0.0111993817825378	0.00754990866480741	89	32	0.141902668171109	0.73273187202328
sex	s__Lachnospiraceae_bacterium_8_1_57FAA	male	0.0105847804152293	0.00721018115473366	89	32	0.146016294919504	0.73273187202328
host_body_mass_index	s__Roseburia_intestinalis	host_body_mass_index	0.00909437584469604	0.00612112833975896	89	53	0.141279432376184	0.73273187202328
description	s__Roseburia_inulinivorans	Population Control	0.0174296702853293	0.0116536376707542	89	64	0.138681570475527	0.73273187202328
host_age	s__Roseburia_unclassified	host_age	0.00640180173416694	0.00421756327733054	89	29	0.132983916882655	0.73273187202328
sex	s__Bilophila_wadsworthia	male	0.00390096282648421	0.00257433096028914	89	33	0.133630034723443	0.73273187202328
description	s__Escherichia_unclassified	Population Control	-0.00779832186667397	0.00512087520834006	89	39	0.131739668283035	0.73273187202328
host_age	s__Bacteroides_fragilis	host_age	0.0165774323435139	0.0115497161794158	89	32	0.155096854106505	0.740930278658738
host_body_mass_index	s__Roseburia_hominis	host_body_mass_index	-0.0102437837006801	0.0071088233492225	89	75	0.153488627728532	0.740930278658738
description	s__Coprobacillus_unclassified	Population Control	-0.0128993787408119	0.00900462509837059	89	19	0.155888796252457	0.740930278658738
host_age	s__Holdemania_filiformis	host_age	-0.00231754291896744	0.00160554224830304	89	24	0.152794300254321	0.740930278658738
sex	s__Bacteroides_dorei	male	0.0458805077333343	0.0325294044556923	89	64	0.162288731540053	0.762379622583504
description	s__Methanobrevibacter_smithii	Population Control	-0.0316862757219167	0.0229965156407217	89	29	0.172084619809715	0.765337654604261
sex	s__Bacteroides_caccae	male	-0.0324250906002196	0.0239599976446332	89	60	0.179771173268011	0.765337654604261
host_body_mass_index	s__Bacteroides_finegoldii	host_body_mass_index	-0.0101996786038568	0.00750519763810797	89	31	0.177960838820574	0.765337654604261
host_age	s__Bacteroides_stercoris	host_age	-0.0247284301160319	0.018361502917985	89	47	0.18186241297527	0.765337654604261
description	s__Bacteroides_uniformis	Population Control	0.061581234016071	0.0453279725210382	89	81	0.178101351355051	0.765337654604261
description	s__Clostridium_leptum	Population Control	-0.00976701508534982	0.00723864764454638	89	32	0.181051105291065	0.765337654604261
sex	s__Lachnospiraceae_bacterium_7_1_58FAA	male	-0.00552132897880065	0.00407511313957204	89	70	0.179266474095518	0.765337654604261
description	s__Roseburia_intestinalis	Population Control	0.0178418170706985	0.0129373433956384	89	53	0.171709167275629	0.765337654604261
host_body_mass_index	s__Sutterella_wadsworthensis	host_body_mass_index	-0.00918280696921063	0.00666257220623789	89	24	0.171963246981283	0.765337654604261
sex	s__Escherichia_coli	male	0.0199990950935543	0.0144906170218744	89	40	0.171387928274481	0.765337654604261
host_age	s__Bifidobacterium_adolescentis	host_age	-0.0130926372201263	0.0102724190862498	89	37	0.206160827589387	0.777581803947661
sex	s__Bifidobacterium_bifidum	male	0.0124598276120724	0.0107727786205938	89	19	0.250876729772237	0.777581803947661
host_body_mass_index	s__Eggerthella_unclassified	host_body_mass_index	0.00263361263589207	0.00217832674555313	89	24	0.230221202229283	0.777581803947661
sex	s__Gordonibacter_pamelaeae	male	0.00317686182276653	0.00292540092045495	89	18	0.280759131732968	0.777581803947661
description	s__Bacteroides_cellulosilyticus	Population Control	0.0356554937874321	0.0303102428426712	89	54	0.242943075653262	0.777581803947661
host_age	s__Bacteroides_finegoldii	host_age	-0.0103723342814272	0.00832542697851166	89	31	0.216451325719011	0.777581803947661
host_age	s__Bacteroides_intestinalis	host_age	0.0112605754940501	0.00897201757456814	89	21	0.213104671041906	0.777581803947661
host_body_mass_index	s__Bacteroides_nordii	host_body_mass_index	0.00352532759603814	0.00297811864610379	89	26	0.240020193540134	0.777581803947661
sex	s__Bacteroides_ovatus	male	-0.031311663127867	0.0259898214283641	89	78	0.23184549475749	0.777581803947661
sex	s__Bacteroides_vulgatus	male	-0.0382093106071945	0.0354035055771875	89	72	0.283718530021973	0.777581803947661
sex	s__Bacteroidales_bacterium_ph8	male	0.0208345557682371	0.0164621983007829	89	57	0.209329923680465	0.777581803947661
host_age	s__Coprobacter_fastidiosus	host_age	-0.00496451690027376	0.00447181616621192	89	27	0.270247680024838	0.777581803947661
sex	s__Coprobacter_fastidiosus	male	-0.00867839200800124	0.00813687525567183	89	27	0.289382831239638	0.777581803947661
description	s__Odoribacter_unclassified	Population Control	-0.00489491858954243	0.0042583407194051	89	20	0.253779065534385	0.777581803947661
sex	s__Parabacteroides_distasonis	male	-0.0252307384228282	0.0200978596148404	89	62	0.212990223017739	0.777581803947661
description	s__Parabacteroides_goldsteinii	Population Control	0.0151725791596552	0.0130826445698156	89	26	0.249600801878153	0.777581803947661
host_age	s__Parabacteroides_goldsteinii	host_age	0.00905482120602421	0.00686635581652725	89	26	0.191024428429855	0.777581803947661
description	s__Parabacteroides_johnsonii	Population Control	0.01187943127523	0.0110263659632502	89	20	0.28455485091322	0.777581803947661
host_age	s__Parabacteroides_johnsonii	host_age	0.00616183203032872	0.0057871290214214	89	20	0.290193286036015	0.777581803947661
host_age	s__Alistipes_shahii	host_age	0.0120262303993232	0.00929502963409225	89	62	0.199445548305739	0.777581803947661
sex	s__Streptococcus_thermophilus	male	-0.0171553164910924	0.0141848833074683	89	34	0.23006796327967	0.777581803947661
host_age	s__Clostridium_bolteae	host_age	-0.00557109220767505	0.00420921272391012	89	32	0.189423392198662	0.777581803947661
sex	s__Clostridium_hathewayi	male	-0.0060997972100478	0.0054267387703688	89	23	0.264363381323581	0.777581803947661
host_body_mass_index	s__Eubacterium_eligens	host_body_mass_index	-0.0123024789338484	0.00952422541700391	89	70	0.20017911299834	0.777581803947661
description	s__Eubacterium_hallii	Population Control	-0.0201188465336384	0.0189126799946829	89	71	0.290630822762616	0.777581803947661
host_body_mass_index	s__Ruminococcus_gnavus	host_body_mass_index	-0.0102599389741671	0.00850520267069863	89	29	0.231252046052479	0.777581803947661
host_age	s__Ruminococcus_torques	host_age	-0.00932881172658312	0.00856778517031964	89	87	0.279500617120499	0.777581803947661
description	s__Coprococcus_catus	Population Control	0.00644864973762091	0.00544579534587773	89	55	0.239859252288035	0.777581803947661
sex	s__Coprococcus_catus	male	0.00645889747518102	0.00520074781280622	89	55	0.217895776376239	0.777581803947661
host_body_mass_index	s__Coprococcus_catus	host_body_mass_index	-0.00285058359033775	0.00257660411452152	89	55	0.271897942980064	0.777581803947661
host_age	s__Coprococcus_comes	host_age	-0.00560990777016334	0.00468313199120574	89	62	0.23449431418559	0.777581803947661
sex	s__Dorea_formicigenerans	male	-0.00883582885238328	0.00738995580039957	89	71	0.235363774675805	0.777581803947661
description	s__Dorea_unclassified	Population Control	0.00441510455027256	0.00385522892116575	89	20	0.255530483385645	0.777581803947661
host_body_mass_index	s__Dorea_unclassified	host_body_mass_index	0.00208272359634366	0.00182404921040914	89	20	0.25693777204922	0.777581803947661
sex	s__Lachnospiraceae_bacterium_3_1_46FAA	male	-0.0098056635546434	0.00824701545249079	89	66	0.237958757156518	0.777581803947661
host_age	s__Lachnospiraceae_bacterium_5_1_63FAA	host_age	-0.00470996516337488	0.00384777426721331	89	66	0.224516583642982	0.777581803947661
sex	s__Lachnospiraceae_bacterium_5_1_63FAA	male	-0.00786398526767558	0.00700137439925679	89	66	0.264709472761087	0.777581803947661
host_age	s__Lachnospiraceae_bacterium_7_1_58FAA	host_age	0.00296385848138171	0.00223957677168251	89	70	0.189471750775771	0.777581803947661
host_body_mass_index	s__Roseburia_unclassified	host_body_mass_index	-0.0046085711055982	0.00380204475149343	89	29	0.229030522214086	0.777581803947661
host_body_mass_index	s__Clostridium_bartlettii	host_body_mass_index	-0.00498889521804823	0.00414967827731281	89	37	0.232818373652904	0.777581803947661
sex	s__Peptostreptococcaceae_noname_unclassified	male	0.0127325495293656	0.01154954007715	89	38	0.273580642776041	0.777581803947661
description	s__Anaerotruncus_unclassified	Population Control	-0.00543677948063621	0.0043157761482375	89	19	0.211423923559802	0.777581803947661
description	s__Ruminococcus_bromii	Population Control	-0.0321317313736188	0.0244794829828602	89	37	0.193071546328586	0.777581803947661
host_body_mass_index	s__Ruminococcus_lactaris	host_body_mass_index	0.00618011467357828	0.0055627021044661	89	39	0.269899959280524	0.777581803947661
host_age	s__Subdoligranulum_unclassified	host_age	0.0177879015192951	0.0153396865459766	89	87	0.249660958922027	0.777581803947661
sex	s__Coprobacillus_unclassified	male	-0.0097517672144053	0.00859943889021465	89	19	0.260181085952011	0.777581803947661
description	s__Veillonella_parvula	Population Control	-0.0170581909309079	0.0146045121537125	89	25	0.246272595756724	0.777581803947661
host_age	s__Oxalobacter_formigenes	host_age	0.00255818164174452	0.00234922821688509	89	24	0.279447413487134	0.777581803947661
sex	s__Oxalobacter_formigenes	male	0.00483868380268889	0.00427463389312156	89	24	0.261035853401901	0.777581803947661
sex	s__Sutterella_wadsworthensis	male	0.0146091514540675	0.0134480720705089	89	24	0.280591968471085	0.777581803947661
description	s__Bilophila_wadsworthia	Population Control	-0.00289216366499904	0.00269562764181158	89	33	0.286537649933561	0.777581803947661
host_body_mass_index	s__Escherichia_unclassified	host_body_mass_index	0.00268485770150532	0.00242287256383	89	39	0.271126165628039	0.777581803947661
host_body_mass_index	s__Haemophilus_parainfluenzae	host_body_mass_index	-0.00662744086646247	0.00589197905269255	89	27	0.264027072325867	0.777581803947661
description	s__Akkermansia_muciniphila	Population Control	-0.0486582948303219	0.0376684971099968	89	61	0.200163088164564	0.777581803947661
description	s__C2likevirus_unclassified	Population Control	-0.00714234291680306	0.00553301334825178	89	19	0.200470374922774	0.777581803947661
description	s__Parabacteroides_distasonis	Population Control	0.0222401392086057	0.0210448255312625	89	62	0.293784430152399	0.780848090668219
description	s__Bacteroides_finegoldii	Population Control	0.0165209591021306	0.0158626504309106	89	31	0.300780602817	0.794218062340313
host_body_mass_index	s__Clostridium_leptum	host_body_mass_index	0.0035390426620596	0.00342486783287366	89	32	0.304559942934306	0.798975434710777
host_age	s__Bacteroides_salyersiae	host_age	-0.00798985820421681	0.00851559291618936	89	20	0.350933856409572	0.80087472676012
description	s__Bacteroides_xylanisolvens	Population Control	0.00923751133701049	0.00939356759469908	89	50	0.328381822660611	0.80087472676012
sex	s__Barnesiella_intestinihominis	male	0.0235195019023669	0.0244272070836148	89	52	0.338528997703838	0.80087472676012
host_body_mass_index	s__Alistipes_indistinctus	host_body_mass_index	0.00577310181536377	0.00611514547564998	89	50	0.347978350904402	0.80087472676012
sex	s__Alistipes_onderdonkii	male	-0.0244441129762994	0.0255993720142179	89	72	0.342519132714169	0.80087472676012
host_age	s__Alistipes_putredinis	host_age	0.0163570949249686	0.016578182910522	89	70	0.326782195683851	0.80087472676012
host_body_mass_index	s__Clostridium_bolteae	host_body_mass_index	-0.00361349432732284	0.00379451690289545	89	32	0.343816489562911	0.80087472676012
description	s__Clostridium_hathewayi	Population Control	-0.0054969649279356	0.00568243448878604	89	23	0.336279070099702	0.80087472676012
host_body_mass_index	s__Clostridium_hathewayi	host_body_mass_index	-0.00273571319393388	0.00268856671145163	89	23	0.311966008723186	0.80087472676012
host_body_mass_index	s__Eubacterium_hallii	host_body_mass_index	0.00871354449493193	0.00894827770709671	89	71	0.333107087507539	0.80087472676012
host_body_mass_index	s__Eubacterium_ventriosum	host_body_mass_index	0.00390280608045238	0.00417637867599943	89	39	0.352860646938865	0.80087472676012
description	s__Anaerostipes_hadrus	Population Control	-0.0114690943764437	0.0114500554348438	89	59	0.319526649422228	0.80087472676012
host_body_mass_index	s__Anaerostipes_hadrus	host_body_mass_index	-0.00519537415443479	0.00541743823833742	89	59	0.340443446811297	0.80087472676012
host_age	s__Ruminococcus_obeum	host_age	-0.00509286398294683	0.00536416524183466	89	81	0.345264705239641	0.80087472676012
host_age	s__Coprococcus_catus	host_age	0.00277004287745189	0.00285819647161076	89	55	0.335387541373434	0.80087472676012
host_age	s__Lachnospiraceae_bacterium_3_1_46FAA	host_age	0.0044430121582751	0.00453234636941756	89	66	0.329898456549712	0.80087472676012
host_body_mass_index	s__Roseburia_inulinivorans	host_body_mass_index	0.00532435464396179	0.00551376040863114	89	64	0.337130187898571	0.80087472676012
sex	s__Clostridium_bartlettii	male	-0.00836036687981095	0.00837592011242743	89	37	0.321219542275172	0.80087472676012
host_body_mass_index	s__Anaerotruncus_colihominis	host_body_mass_index	-0.000855158803533034	0.000887095936472892	89	19	0.337951852617778	0.80087472676012
host_age	s__Ruminococcus_callidus	host_age	0.00434254994370047	0.00429077910659024	89	21	0.314557932057637	0.80087472676012
sex	s__Ruminococcus_callidus	male	-0.0073004547061771	0.00780746189965657	89	21	0.352570726892053	0.80087472676012
host_body_mass_index	s__Veillonella_parvula	host_body_mass_index	-0.00676385715025627	0.0069099265976493	89	25	0.330599603580099	0.80087472676012
host_age	s__Veillonella_unclassified	host_age	0.0094122428846008	0.00972979400761531	89	34	0.33627801764057	0.80087472676012
host_body_mass_index	s__Escherichia_coli	host_body_mass_index	0.0072231321822353	0.00717907977552389	89	40	0.317383616849046	0.80087472676012
host_age	s__Bacteroidales_bacterium_ph8	host_age	0.00836256064700016	0.0090471983629727	89	57	0.358096324490244	0.805518953124225
description	s__Veillonella_unclassified	Population Control	-0.0171069628431279	0.018538427098806	89	34	0.35889458307515	0.805518953124225
sex	s__Parabacteroides_goldsteinii	male	-0.0114607273236026	0.0124939574131615	89	26	0.361741778743117	0.807423638741542
host_age	s__Bacteroides_thetaiotaomicron	host_age	-0.0096346993866238	0.0106508778069156	89	65	0.368397674637594	0.813734054182461
sex	s__Alistipes_indistinctus	male	0.0110315269706525	0.0123431183231594	89	50	0.374142361606451	0.813734054182461
sex	s__Alistipes_shahii	male	0.0151534110981069	0.016913149785057	89	62	0.372965173911621	0.813734054182461
description	s__Lachnospiraceae_bacterium_5_1_63FAA	Population Control	-0.00654538127302137	0.00733126340491541	89	66	0.374639935836479	0.813734054182461
host_age	s__Veillonella_parvula	host_age	0.00686752763237553	0.00766509985340071	89	25	0.37296880061042	0.813734054182461
sex	s__Bifidobacterium_adolescentis	male	0.0165542319690323	0.0186915985747246	89	37	0.378460059807003	0.817635637230104
host_body_mass_index	s__Bacteroides_massiliensis	host_body_mass_index	-0.00968016546952211	0.0110418168299107	89	25	0.383284197537409	0.818764229968778
description	s__Alistipes_senegalensis	Population Control	0.0048689339162852	0.00555997648250752	89	37	0.383808816480357	0.818764229968778
host_age	s__Eubacterium_hallii	host_age	-0.0086695022081142	0.00992621863221954	89	71	0.385062385381356	0.818764229968778
description	s__Ruminococcaceae_bacterium_D16	Population Control	-0.00350242497687007	0.00409409199893689	89	20	0.3948389014842	0.835156629317365
host_age	s__Bacteroides_nordii	host_age	-0.00274717811163967	0.00330359179291801	89	26	0.408125202860967	0.845733918221606
host_body_mass_index	s__Odoribacter_unclassified	host_body_mass_index	-0.00166761642217528	0.00201477608352638	89	20	0.410306554384739	0.845733918221606
description	s__Prevotella_copri	Population Control	0.0321804111527536	0.0383898032492359	89	23	0.404385579124039	0.845733918221606
description	s__Ruminococcus_obeum	Population Control	-0.00860979480584393	0.0102204821812125	89	81	0.402072213747767	0.845733918221606
host_age	s__Haemophilus_parainfluenzae	host_age	0.0054192266903906	0.00653590268070252	89	27	0.409488148002019	0.845733918221606
host_age	s__Collinsella_aerofaciens	host_age	-0.00522552093412693	0.00637967731744429	89	62	0.415169286421526	0.851413155910135
host_age	s__Flavonifractor_plautii	host_age	-0.00110720341341961	0.00137988788084437	89	25	0.424706655210709	0.866144534312504
description	s__Eubacterium_ramulus	Population Control	-0.0043717384316841	0.00547132553212065	89	37	0.426640500812348	0.866144534312504
host_body_mass_index	s__Coprobacter_fastidiosus	host_body_mass_index	-0.00316331578801186	0.00403124839306519	89	27	0.43494772574858	0.878594406012132
host_age	s__Gordonibacter_pamelaeae	host_age	-0.00123943949743314	0.00160772467534425	89	18	0.443020740467445	0.890449647506706
description	s__Bacteroides_stercoris	Population Control	0.0266134004251994	0.0349846443823127	89	47	0.449062720679187	0.898125441358375
host_body_mass_index	s__Veillonella_unclassified	host_body_mass_index	-0.00663722726492994	0.00877120503173113	89	34	0.451448547255562	0.898449325572647
sex	s__Bacteroides_finegoldii	male	0.0112172301737482	0.0151488697782806	89	31	0.46118473504114	0.904459383284566
sex	s__Parabacteroides_johnsonii	male	0.0078097425890261	0.010530206337993	89	20	0.460470309382268	0.904459383284566
sex	s__Ruminococcus_torques	male	-0.0116590395495517	0.0155898624981585	89	87	0.456737217732011	0.904459383284566
sex	s__Methanobrevibacter_smithii	male	-0.0134202364533806	0.0219617284206576	89	29	0.542883158485852	0.907452504334897
host_body_mass_index	s__Bifidobacterium_adolescentis	host_body_mass_index	-0.0048983459189878	0.00926037014831396	89	37	0.598299271030478	0.907452504334897
host_body_mass_index	s__Bifidobacterium_longum	host_body_mass_index	-0.00360050640468695	0.00660920386807961	89	42	0.587426075916024	0.907452504334897
host_age	s__Adlercreutzia_equolifaciens	host_age	-0.00129520531425284	0.00247344391685586	89	41	0.601973443469684	0.907452504334897
sex	s__Adlercreutzia_equolifaciens	male	-0.00242656441763015	0.00450065562968018	89	41	0.591275205669617	0.907452504334897
host_body_mass_index	s__Adlercreutzia_equolifaciens	host_body_mass_index	0.00155089950583804	0.00222975776385919	89	41	0.488728669441744	0.907452504334897
sex	s__Collinsella_aerofaciens	male	-0.00652530002983981	0.0116084017262849	89	62	0.575606767702163	0.907452504334897
sex	s__Eggerthella_unclassified	male	-0.00234957662148845	0.00439684466607186	89	24	0.594562097922313	0.907452504334897
host_age	s__Bacteroides_cellulosilyticus	host_age	0.00903794251820288	0.0159081683471939	89	54	0.571536432020764	0.907452504334897
description	s__Bacteroides_eggerthii	Population Control	0.0248501548720592	0.0445772738734762	89	23	0.578768042569607	0.907452504334897
sex	s__Bacteroides_faecis	male	0.00619797716450888	0.0104117293209141	89	23	0.553331247863079	0.907452504334897
sex	s__Bacteroides_massiliensis	male	0.0151333075722841	0.0222873604850348	89	25	0.499092215817861	0.907452504334897
description	s__Bacteroides_nordii	Population Control	0.00365789457771507	0.00629441852204581	89	26	0.562784514260052	0.907452504334897
description	s__Bacteroides_salyersiae	Population Control	-0.00872353949693328	0.0162249784894034	89	20	0.592303593452048	0.907452504334897
description	s__Bacteroides_thetaiotaomicron	Population Control	-0.0129657867200891	0.0202933917827299	89	65	0.524702234201069	0.907452504334897
